"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C10_M1","CAPC1005X60N","1757.102mil","279.527mil","1757.102mil","279.527mil","1737.417mil","279.527mil","B","360.00","0.1uF"
"C10_M2","CAPC1005X60N","3055.315mil","279.527mil","3055.315mil","279.527mil","3035.63mil","279.527mil","B","360.00","0.1uF"
"C10_M3","CAPC1005X60N","4355.528mil","279.527mil","4355.528mil","279.527mil","4335.842mil","279.527mil","B","360.00","0.1uF"
"C11_M0","CAPC1005X60N","573mil","319.055mil","573mil","319.055mil","573mil","338.74mil","B","270.00","0.1uF"
"C11_M1","CAPC1005X60N","1872mil","319.378mil","1872mil","319.378mil","1872mil","339.063mil","B","270.00","0.1uF"
"C11_M2","CAPC1005X60N","3171mil","319.378mil","3171mil","319.378mil","3171mil","339.063mil","B","270.00","0.1uF"
"C11_M3","CAPC1005X60N","4471mil","319.378mil","4471mil","319.378mil","4471mil","339.063mil","B","270.00","0.1uF"
"C12_M0","CAPC1005X60N","733.48mil","318.897mil","733.48mil","318.898mil","733.48mil","338.583mil","B","270.00","0.1uF"
"C12_M1","CAPC1005X60N","2032.693mil","318.897mil","2032.693mil","318.898mil","2032.693mil","338.583mil","B","270.00","0.1uF"
"C12_M2","CAPC1005X60N","3330.905mil","318.897mil","3330.906mil","318.898mil","3330.905mil","338.583mil","B","270.00","0.1uF"
"C12_M3","CAPC1005X60N","4631.118mil","318.897mil","4631.118mil","318.898mil","4631.118mil","338.583mil","B","270.00","0.1uF"
"C13_M0","CAPC1005X60N","851.6mil","430.378mil","851.6mil","430.378mil","871.285mil","430.378mil","B","180.00","0.1uF"
"C13_M1","CAPC1005X60N","2150.812mil","430.378mil","2150.813mil","430.378mil","2170.498mil","430.378mil","B","180.00","0.1uF"
"C13_M2","CAPC1005X60N","3449.025mil","430.378mil","3449.025mil","430.378mil","3468.71mil","430.378mil","B","180.00","0.1uF"
"C13_M3","CAPC1005X60N","4749.238mil","430.378mil","4749.238mil","430.378mil","4768.923mil","430.378mil","B","180.00","0.1uF"
"C14_M0","CAPC1005X60N","457.9mil","522.078mil","457.9mil","522.078mil","438.215mil","522.078mil","B","360.00","0.1uF"
"C14_M1","CAPC1005X60N","1757.113mil","522.078mil","1757.113mil","522.078mil","1737.428mil","522.078mil","B","360.00","0.1uF"
"C14_M2","CAPC1005X60N","3055.325mil","522.078mil","3055.325mil","522.078mil","3035.64mil","522.078mil","B","360.00","0.1uF"
"C14_M3","CAPC1005X60N","4355.538mil","522.078mil","4355.538mil","522.078mil","4335.853mil","522.078mil","B","360.00","0.1uF"
"C15_M0","CAPC1005X60N","636mil","614mil","636mil","614mil","636mil","594.315mil","B","90.00","0.1uF"
"C15_M1","CAPC1005X60N","1944.567mil","614.055mil","1944.567mil","614.055mil","1944.567mil","594.37mil","B","90.00","0.1uF"
"C15_M2","CAPC1005X60N","3233mil","614.378mil","3233mil","614.378mil","3233mil","594.693mil","B","90.00","0.1uF"
"C15_M3","CAPC1005X60N","4532.913mil","613.858mil","4532.913mil","613.858mil","4532.913mil","594.173mil","B","90.00","0.1uF"
"C16_M0","CAPC1005X60N","654.74mil","318.897mil","654.74mil","318.898mil","654.74mil","338.583mil","B","270.00","0.1uF"
"C16_M1","CAPC1005X60N","1953.953mil","318.897mil","1953.953mil","318.898mil","1953.953mil","338.583mil","B","270.00","0.1uF"
"C16_M2","CAPC1005X60N","3250mil","319mil","3250mil","319mil","3250mil","338.685mil","B","270.00","0.1uF"
